helicopter_category,climb_roc_fpm,climb_tas_kt,cruise_tas_kt,approach_tas_initial_kt,approach_tas_final_kt,approach_rod_initial_fpm,approach_rod_final_fpm,approach_start_nm,source_notes
PISTON,500.0,60.0,75.0,60.0,30.0,500.0,250.0,5.0,FAA Part 141 R22 training syllabus: 500 fpm at 60 kt
SINGLE_TURBOSHAFT,1000.0,60.0,120.0,60.0,30.0,700.0,250.0,5.0,FOCA 2015 Appendix A (AS350B2 direct)
TWIN_TURBOSHAFT_LIGHT,1500.0,80.0,150.0,80.0,40.0,700.0,300.0,6.0,"Extrapolated from AS350B2 baseline scaled for twin-light class (A109E airliners.net, AeroCorner)"
TWIN_TURBOSHAFT_HEAVY,1920.0,70.0,139.0,70.0,40.0,700.0,300.0,7.0,"Eurocopter 2006 Technical Data PDF: AS332L1 at 8000 kg ISA SL (ROC 1920 fpm at 70 kt, rec cruise 139 kt)"
